title,authors,abstract,year,keywords,doi,url,type
Semantic web and knowledge graphs as an educational technology of personnel training for nuclear power engineering,"Telnov, Victor, Korovin, Yuri","<p>The technologies of knowledge representation and inference in an artificial intelligence system focused on the domain of nuclear physics and nuclear power engineering are considered. The possibilities of description logics and graph databases of nuclear knowledge for the generation of cognitive hypotheses, using in addition to deduction and other ways of reasoning, such as inductive inference and reasoning based on analogies, are discussed. The use of adequate description logic and measures of semantic similarity is substantiated. Interactive visual navigation and reasoning on the knowledge graphs are performed by means of special retrieval widgets and the smart RDF browser. Operations with semantic repositories are implemented on cloud platforms using SPARQL queries and RESTful services. The proposed software solutions are based on cloud computing using DBaaS and PaaS service models to ensure scalability of data warehouses and network services. Example of use of the offered technologies and software has been given.</p>",2019,"Nuclear education, semantic web, knowledge graph, cloud computing",10.3897/nucet.5.39226,,publication
PATTERNS IN FORMING THE ONTOLOGY-BASED ENVIRONMENT OF INFORMATION-ANALYTICAL ACTIVITY IN ADMINISTRATIVE MANAGEMENT,"Oleksandr Nesterenko, Oleksandr Trofymchuk","<p>A new paradigm of the formation of the environment of informational-analytical activity in administrative management based on ontologies was proposed. It was shown that application of this approach makes it possible to formalize domain area and structure the information necessary for analytical activity. It was established that the use of ontological descriptions in the technological chain of analytical activity ensures dynamic formation for the analysis of the respective sets of the criteria based on the use of the properties of concepts of the domain areas, by which appropriate decisions are made. It is noted that the process of solving an analytical problem may represent a certain sequence of ordered tautologies, each of which inherits all the properties of the concepts that make up the tautology that directly precedes it. In turn, this sequence determines the set of possible taxonomies as functional components of the operational environment of informational-analytical activity. To support the work of an analyst, it is proposed to apply the hierarchies of ontologies from the upper level to the subject ontologies, including the intermediate level of the ontology core. The ontology core is expanding through ontological linking of ontology classes to such information resources as classifiers. Correctness and adequacy of such decision is proved by the use of this paradigm to solve the problem of administrative monitoring of socio-economic development of the regions of a country from the state level to local self-government</p>",2019,"informational-analytical system, management body, administrative management, information resources, ontology, taxonomy, classifier",10.15587/1729-4061.2019.180107,,publication
Interoperability of EO cloud computing services,"Schramm, Matthias, Pebesma, Edzer, Mohr, Matthias, Jacob, Alexander, Dries, Jeroen, Foresta, Luca, Neteler, Markus","<p>This document represents all presentations, held during ESA Phiweek at ESRIN (Frascati / IT) at the side event &quot;Interoperability of EO Cloud Computing Services With the openEO API&quot;.</p>

<p>Following side event&#39;s description was published by the Phiweek&#39;s organizers.</p>

<p><em><strong>Planned outcome of openEO</strong></em></p>

<p><em>Copernicus and other novel Earth Observation (EO) programmes are generating data of unprecedented quality and volume. To scope with this, Petabyte-scale EO data centres and cloud computing services have been set up over the last decade, resulting in a variety of customised EO processing platforms. Nowadays, available services are ranging from Data-as-a-Service (DaaS) to Platform-as-a-Service (PaaS), are tailored by their user&#39;s needs and are often closed-source up to different degrees (e.g. DIAS, VITO, EODC, Copernicus Global Land Service, Google Earth Engine, Amazon Web Services, &hellip;). This heterogeneity, the diverse user demands as well as the emergence of the various service offerings makes it currently difficult for end users to compare results from different platforms, or costs of offerings.</em></p>

<p><em>openEO is a user-driven open source project that develops an API (a language) for communication between users of diverse programming environments (e.g. web browser, Jupyter notebooks, RStudio) and various EO service providers. It aims at cross-cloud platform interoperability (i) to merge heterogeneous user communities of different platforms, now developing combinable workflows and thus to enable more holistic and specialised cloud computing approaches in the EO sector, (ii) to allow users an easier switch between service providers, (iii) to implement cross-platform communication strategies and thus to develop de-centralised workflows, considering the capabilities of individual service providers, and (iv) to allow the comparison of the platforms processing results, capabilities and pricing. For the communication between clients and EO cloud providers, the workflows&#39; commands are chained to standardised process graphs in a JSON format and transferred via web request to an interface at the service provider. The jobs are then translated by the openEO back-end to the platform&#39;s local syntax and are either executed as batch jobs, or lazy evaluated as part of secondary web services for web-based access or executed synchronously in case of lightweight jobs. With openEO, former needed many-to-many connections between clients and the cloud providers are reduced to many-to-one connections.</em></p>

<p><em>The openEO API entails processes from all aspects of the EO data life cycle. It prepares the data as a &#39;virtual data cube&#39; &ndash; independently of the back-ends storage data structure. The openEO processes support following data manipulation: (i) EO data can be subsetted, (ii) dimension can be removed or added by computation, (iii) resampling and aggregation processes allow e.g. reprojecting or rescaling of EO data, (iv) pixel-based math processes are available (e.g. sorting algorithms, unary functions), and (v) the capability of processing user-defined functions (UDFs) will allow openEO to meet extremely specialised user demands. All currently available processes are listed and described at https://processes.openeo.org.</em></p>

<p><em>While openEO is designed as language neutral, clients for Python, R, and JavaScript are currently developed. Compatible service providers are momentarily VITO, EODC, mundialis, Sinergise, EURAC Research, JRC and Google Earth Engine; further connections are planned. The openEO API is conceived to be used as a template for further service providers to easily connect to the freely available API (https://github.com/Open-EO/). A stable version was released in July 2019, which will be demonstrated in this workshop.</em></p>

<p><em><strong>Aim of the workshop</strong></em></p>

<p><em>This workshop will provide participants with an overview of using openEO on different cloud platforms. Service providers will gain insights in implementing the open source API on their system and thus connecting to the joint user community.</em></p>

<p><em>The side event is split into 2 sessions of 2 hours each, showing live demonstrations and covering various aspects of the openEO API. The first session will concentrate on the clients perspective, demonstrating its use via Python, R, and web interfaces on various service providers (VITO, Mundialis, EURAC Research, Google Earth Engine). The second session will deal with the installation of openEO instances on service provider&rsquo;s premises and chosen standards of the openEO API.</em></p>

<p>&nbsp;</p>",2019,,10.5281/zenodo.3453789,,presentation
BIG DATA MANAGEMENT AND CLOUD  COMPUTING WITH POTENTIALITIES IN  ACADEMIA: AN INDIAN SCENARIO,"P. K. Paul, A. Bhuimali, P Sreeramana Aithal","<p>Development &nbsp;and &nbsp;progress &nbsp;are &nbsp;truly &nbsp;depends &nbsp;on &nbsp;knowledge &nbsp;dissemination &nbsp;and &nbsp;cultivation.&nbsp;<br>
Emerging &nbsp;technologies are &nbsp;the key pillar &nbsp;for complete &nbsp;industrial solutions and ultimately &nbsp;for&nbsp;<br>
the building of solid industrial society. And it is important step for reaching knowledge society&nbsp;<br>
development. &nbsp;Educational &nbsp;programs &nbsp;and &nbsp;courses &nbsp;play &nbsp;a &nbsp;greater &nbsp;role &nbsp;for &nbsp;such &nbsp;development.&nbsp;<br>
Social &nbsp;development &nbsp;is &nbsp;purely &nbsp;related &nbsp;economical &nbsp;progress &nbsp;and &nbsp;that &nbsp;is &nbsp;related &nbsp;with &nbsp;the&nbsp;<br>
educational &nbsp;delivery.</p>",2019,,10.5281/zenodo.3407324,,publication
"Advances in Cloud Computing, Data Science and Big Data Analytics",Mao Ito,"<p>Graphical Model Lab: Towards the Development of Graphical Modelling Open Source SaaS<br>
&nbsp;</p>",2019,,10.5281/zenodo.2576672,,publication
A Bi- Objective Workflow Application Scheduling In Cloud Computing Systems,Yalda Aryan,"<p><strong>ABSTRACT </strong></p>

<p>The task scheduling is a key process in large-scale distributed systems like cloud computing infrastructures which can have much impressed on system performance. This problem is referred to as a NP-hard problem because of some reasons such as heterogeneous and dynamic features and dependencies among the requests. Here, we proposed a bi-objective method called DWSGA to obtain a proper solution for allocating the requests on resources. The purpose of this algorithm is to earn the response quickly, with some goal-oriented operations. At first, it makes a good initial population by a special way that uses a bidirectional tasks prioritization. Then the algorithm moves to get the most appropriate possible solution in a conscious manner by focus on optimizing the makespan, and considering a good distribution of workload on resources by using efficient parameters in the mentioned systems. Here, the experiments indicate that the DWSGA amends the results when the numbers of tasks are increased in application graph, in order to mentioned objectives. The results are compared with other studied algorithms.</p>

<p><br>
<strong>Original Source </strong><strong>URL :</strong><strong>&nbsp;<a href=""http://airccse.org/journal/ijite/papers/3214ijite06.pdf"">http://airccse.org/journal/ijite/papers/3214ijite06.pdf</a></strong></p>

<p><strong>For more </strong><strong>details :</strong><strong>&nbsp;<a href=""http://airccse.org/journal/ijite/vol3.html"">http://airccse.org/journal/ijite/vol3.html</a></strong></p>",2019,"Cloud computing, Heterogeneous distributed computing systems, market oriented systems, Workflow scheduling, Genetic Algorithm",10.5281/zenodo.2575352,,publication
Cloud Computing Based Knowledge Mapping Between Existing and Possible Academic Innovations—An Indian Tecno -Educational Context,"P K Paul, Vijender Kumar Solanki, P Sreeramana Aithal",<p>Cloud Computing Based Knowledge Mapping Between Existing and Possible Academic Innovations</p>,2019,,10.5281/zenodo.3593902,,publication
Review Paper On An Efficient Encryption Scheme In Cloud Computing Using ABE,"Rutuja G. Kaple, Prof. S. B. Rathod","<p>Security for the data which is stored on the cloud by user is very important issue. User may expect some security for their data from the cloud service provider, there can be serious issues concerning data security between user and service provider. To solve this kind of issues, we can use third party as an auditor. Here we have analyzed different ways to ensure secure data storage in cloud. We are going to provide the security to the user&#39;s data by using encryption technique. For this we are using the Advanced Encryption Standard algorithm for encryption and decryption. But when Cloud Service Provider has both encryption and decryption keys, there is threat to security and privacy of data. CSP may pass the user data without user&#39;s knowledge. For auditing we are introducing Third Party Auditor. Here the data will be encrypted at user side and will be in encrypted form over network and to TPA. TPA will verify the data before storing it on the cloud. There are large numbers of users of cloud computing who are accessing and modifying the data and they need the reliable service provider who can provide complete security for their data. So the TPA will audit the data and check the data integrity of client&#39;s data. Hence user will have more elaborated view over his data privacy. Rutuja G. Kaple | Prof. S. B. Rathod &quot;Review Paper On An Efficient Encryption Scheme In Cloud Computing Using ABE&quot; Published in International Journal of Trend in Scientific Research and Development (ijtsrd), ISSN: 2456-6470, Volume-2 | Issue-3 , April 2018, URL: https://www.ijtsrd.com/papers/ijtsrd10915.pdf</p>",2019,"Computer Network, Cloud Computing, Attribute based encryption, Key policy, ciphertext policy",10.31142/ijtsrd10915,,publication
Review on CDSS implementation with CDA generation and integration for health information exchange in cloud,"Pooja N. Umekar, Dr. H R. Deshmukh, Prof O A. Jaisinghani","<p>Successful Deployment of EHR helps to improve patient safety and quality of care, but it has the prerequisite of interoperability between health information exchange at different hospital. The clinical document architecture developed HL7 is core document standard to ensure such interoperability and propagation of this document. Unfortunately, hospitals are reluctant to adopt interoperable HIS due to its deployment cost except for in a handful countries. A problem arises even when more hospital s start using the CDA document format because the data scattered in different documents are hard to manage. CDA document generation and integration Open API service based on cloud computing through which hospitals are enabled to conveniently generate CDA document per patient into a single CDA document and physician and patients can browse the clinical data in chronological order. CDA system of CDA document generation and integration is based on cloud computing and the service is offered in Open API. A clinical decision support system CDSS is a health information technology system that is designed to provide physicians and other health professionals with clinical decision support CDS , that is assistance with clinical decision -making tasks. A working definition has been proposed by Robert Hayward of the Centre for Health Evidence &quot;Clinical decision support systems link health observations with health knowledge to influence health choices by clinicians for improved health. Our system will implement CDSS clinical decision support system it the system looking towards the clinical decision support from existing CDA system provided information. CDSS will help the doctor&#39;s do the diagnosis of the patient from the existing CDA system. So that the time will be saved of the patient or if the patient is unable to bring or collect the health record the doctor&#39;s will be able to detect the particular disease. Pooja N. Umekar | Dr. H R. Deshmukh | Prof O A. Jaisinghani &quot;Review on CDSS implementation with CDA generation and integration for health information exchange in cloud&quot; Published in International Journal of Trend in Scientific Research and Development (ijtsrd), ISSN: 2456-6470, Volume-2 | Issue-3 , April 2018, URL: https://www.ijtsrd.com/papers/ijtsrd11130.pdf</p>",2019,"Computer Engineering, Health information exchange, CDA, cloud computing",10.31142/ijtsrd11130,,publication
THE USE OF CLOUD TECHNOLOGIES IN THE EDUCATIONAL PROCESS OF HEI,"Rekun, O.","<p>Informatization of the education takes one of the main places among many directions of its development. Lately, one of the key trends in the IT industry is cloud technologies. The use of cloud technologies in the educational process can be done in two ways: learning cloud technologies and using cloud technologies by learning.</p>

<p>Cloud technologies in the educational process of HEI are analyzed within the article. Advantages and disadvantages of introducing cloud technologies in higher education institutes are determined, software review is done. Existing models of maintenance of cloud technologies are considered, the choice of presented models is substantiated. A set of knowledge, learning skills that enable a modern expert to work effectively with information in global computer networks, share it with colleagues is specified. A review of Internet platforms offering cloud technologies, in order to identify among them the most optimal for the educational objectives, is performed. Google-services and their potential for conducting classes in institutions of higher education are characterized.</p>

<p><strong>Methodology.</strong> Analysis and synthesis of scientific publications, psycho-pedagogical and methodical literature, internet sources, ascent from abstract to concrete in order to reveal the main definitions of the problem under study.</p>

<p><strong>Scientific novelty.</strong> Theoretical aspects of the use of cloud technologies in the educational process for higher education institutes have been identified, defined and generalized.</p>

<p><strong>Conclusions.</strong> The use of cloud technologies is a promising direction, which allows increasing the efficiency of the educational process and reducing the cost of its implementation. The proposed decision of the organization of the educational process based on building a private learning cloud adds a number of innovative methods, in comparison with the traditional model of education and can be successfully implemented in the modern educational system, as well as in creating effective tools for organizing research activities.</p>",2019,"""cloud"", ""cloud technologies"", educational process",10.5281/zenodo.3252294,,publication
