title,author,description,created,updated,keywords,doi,url,license,type
Semantic web and knowledge graphs as an educational technology of personnel training for nuclear power engineering,"Telnov, Victor, Korovin, Yuri","<p>The technologies of knowledge representation and inference in an artificial intelligence system focused on the domain of nuclear physics and nuclear power engineering are considered. The possibilities of description logics and graph databases of nuclear knowledge for the generation of cognitive hypotheses, using in addition to deduction and other ways of reasoning, such as inductive inference and reasoning based on analogies, are discussed. The use of adequate description logic and measures of semantic similarity is substantiated. Interactive visual navigation and reasoning on the knowledge graphs are performed by means of special retrieval widgets and the smart RDF browser. Operations with semantic repositories are implemented on cloud platforms using SPARQL queries and RESTful services. The proposed software solutions are based on cloud computing using DBaaS and PaaS service models to ensure scalability of data warehouses and network services. Example of use of the offered technologies and software has been given.</p>",2019-10-03T04:30:48.388993+00:00,2024-07-22T18:02:48.397932+00:00,"Nuclear education, semantic web, knowledge graph, cloud computing",10.3897/nucet.5.39226,,cc-by-4.0,publication
Towards a Knowledge Graph Enhanced Automation and Collaboration Framework for Digital Twins,"Christou, Vasileios, Wang, Yuandou, Zhao, Zhiming","<p><em>The Digital Twin (DT) provides a digital representation</em></p>

<p><em>of a physical system and allows users to interactively study</em></p>

<p><em>the physical processes of a real system via the digital representation</em></p>

<p><em>in different scenarios in real time. The development</em></p>

<p><em>of a DT is highly complex; it requires not only expertise from</em></p>

<p><em>multiple disciplines but also the integration of often heterogeneous</em></p>

<p><em>software components, e.g., simulations, machine learning,</em></p>

<p><em>visualization, and user interface components across distributed</em></p>

<p><em>environments. This poster presents a Knowledge Graph-based</em></p>

<p><em>ontological framework to boost automation and collaboration</em></p>

<p><em>during the DT lifecycle stages. We implement our methods in</em></p>

<p><em>developing a what-if analysis service for a DT of an ecosystem</em></p>

<p><em>of wetlands and its automated deployment to the Amazon Web</em></p>

<p><em>Services (AWS) cloud.</em></p>",2023-10-06T11:40:49.134287+00:00,2024-07-11T03:28:35.842535+00:00,"Digital Twin, Semantic Web, Knowledge Graph, Ontology, Cloud Computing, What-If Analysis",10.1109/E-SCIENCE58273.2023.10254845,,cc-by-4.0,publication
Automating Cloud Security and Compliance at Scale Strategies and Best Practices,"Rajashekar Reddy Yasani, Karthik Venkatesh Ratnam","<p><span>Many rules, guidelines, and software controls have been developed by various agencies and standards bodies throughout the world to address data protection concerns, and they are all meant to be applied to data stored in the Cloud. Compliance obligations have so increased for service providers who store private information about their end users. It takes a lot of human work to follow these rules because they aren't in a machine-processable format. Providers often have to put in extra work to meet all of the regulations because numerous laws have similar requirements but don't mention each other. Every single data protection regulation that pertains to data stored in the cloud has been thoroughly researched by us. We have created a knowledge graph that incorporates all of these data compliance rules and is rich in semantic information. This encompasses both the data threats and the necessary security policies to lessen those risks. In this work, we showcase this knowledge graph and the evaluation system we built in great detail. We have checked our knowledge graph with the privacy policies of several cloud providers, including Rackspace, Amazon Web Services, Google Cloud, and IBM. Businesses may automate their compliance procedures and establish enterprise-level Cloud security rules with the help of this publicly-available knowledge graph.</span></p>",2024-10-10T11:57:59.292895+00:00,2024-10-10T11:57:59.544339+00:00,"Cloud computing, cloud security, security domains, security compliance models, cloud security models",10.5281/zenodo.13912688,,cc-by-4.0,publication
Exploiting data in the cloud,"Miller, Paul",<p>Audio recording of presentation which cannot be published due to copyright issues.</p>,2022-09-21T10:45:32.551683+00:00,2022-10-07T10:16:29.817974+00:00,"cloud computing, semantic web",10.5281/zenodo.7100480,,cc-nc,video
Semantic SLA for Clouds: Combining SLAC and OWL-Q,"Kyriakos Kritikos, Rafael Brundo Uriarte","<p>Several SLA languages have been proposed, some specifically for the cloud domain. However, after extensively<br>
analysing the domain’s requirements considering the SLA lifecycle, we conclude that none of them covers the<br>
necessary aspects for application in diverse real-world scenarios. In this paper, we propose SSLAC, where we<br>
combine the capabilities of two prominent service specification and SLA languages: OWL-Q and SLAC. These<br>
languages have different scopes but complementary features. SLAC is domain specific with validation and<br>
verification capabilities. OWL-Q is a higher level language based on ontologies and well defined semantics.<br>
Their combination advances the state of the art in many perspectives. It enables the SLA’s semantic verification<br>
and inference and, at the same time, its constraint-based modelling and enforcement. It also provides a complete<br>
formal approach for defining non-functional terms and an enforcement framework covering real-world scenarios.<br>
The advantages of SSLAC, in terms of expressiveness and features, are then shown in a use case modelled by it.</p>",2017-10-03T10:07:53.449271+00:00,2024-08-03T01:42:58.935473+00:00,"SLA, Cloud Computing",10.5281/zenodo.1001162,,cc-by-4.0,publication
Providing a New Model for Discovering Cloud Services Based on Ontology,"Heydari, B., Aajami, M.","<p>Due to its efficient, flexible, and dynamic substructure in information technology and service quality parameters estimation, cloud computing has become one of the most important issues in computer world. Discovering cloud services has been posed as a fundamental issue in reaching out high efficiency. In order to do one&rsquo;s own operations in cloud space, any user needs to request several various services either simultaneously or according to a working routine. These services can be presented by different cloud producers or different decision-making policies. Therefore, service management is one of the important and challenging issues in cloud computing. With the advent of semantic web and practical services accordingly in cloud computing space, access to different kinds of applications has become possible. Ontology is the core of semantic web and can be used to ease the process of discovering services. A new model based on ontology has been proposed in this paper. The results indicate that the proposed model has explored cloud services based on user search results in lesser time compared to other models.</p>",2017-12-19T12:20:45.856325+00:00,2024-08-02T21:46:42.417181+00:00,"cloud, computing, service, semantic, web, ontology",10.5281/zenodo.1118362,,cc-by-4.0,publication
Towards a Practical Solution for Data Grounding in a Semantic Web Services Environment,"Rodríguez, Miguel, Rodríguez, Jose María Alvarez, Muñoz, Diego, Paredes, Luis, Gayo, Jose Emilio Labra, Ordóñez de Pablos, Patricia","Grounding is the process in charge of linking requests and responses of web services with the semantic web services execution platform, and it is the key activity to automate their execution in a real business environment. In this paper, the authors introduce a practical solution for data grounding. On the one hand, we need a mapping language to relate data structures from services definition in WSDL documents to concepts, properties and instances of a business domain. On the other hand, two functions that perform the lowering and lifting processes using these mapping specifications are also presented.",2021-09-14T04:56:11.924322+00:00,2024-07-17T19:13:31.768633+00:00,"service-oriented architectures, web services, cloud computing, semantic web, ontologies, data grounding, semantic web services, interoperability, mapping languages",10.3217/jucs-018-11-1576,,cc-by-4.0,publication
The CHAIN-REDS Semantic Search Engine,"Barbera, Roberto, Carrubba, Carla, Inserra, Giuseppina, Ricceri, Rita, Mayo-Garcia, Rafael","<p>e-Infrastructures, and in particular Data Repositories and Open Access Data Infrastructures, are essential platforms for e-Science and e-Research and are being built since several years both in Europe and the rest of the world to support diverse multi/inter-disciplinary Virtual Research Communities. So far, however, it is difficult for scientists to correlate papers to datasets used to produce them and to discover data and documents in an easy way. In this paper, the CHAINREDS project&rsquo;s Knowledge Base and its Semantic Search Engine are presented, which attempt to address those drawbacks and contribute to the reproducibility of science.</p>",2015-02-02T16:48:57+00:00,2024-08-06T14:17:01.638246+00:00,"CHAIN-REDS, Cloud Computing, Data Repositories, e-Infrastructures, Grid Computing, Linked Data, Search Engines, Semantic Web",10.5281/zenodo.7720,,cc-by-4.0,publication
A CROMLECH EDITION OF CLOUD COMPUTING FRAMEWORK USING CONCEPT OF ONTOLOGY WITH QUERY RETRIEVAL AND REFINEMENT MECHANISM,Navita,"<p>We all are living in the world of clouds. User has become adaptive to latest technology trends of information and communication technologies. Cloud computing has made our lives practical and keeps providing us services like consulting, data management and storage in efficient way. Cloud computing is one of emerging areas that is prevailing in industries at grandiose rate. It is combination of Internet and centralized network servers forming a mesh called CLOUD. In this paper, various aspects of cloud computing and its applications are presented. Some differences are provided between network models of cloud computing that are governing organizations and enterprisers. For achieving fault tolerance strategy, there is need to introduce multiple clouds and resource management architecture.</p>

<p>It is believed that existing model must be improved time to time to ensure efficient computing of tasks. The paper presents an improved version of cloud computing detailed architecture. It lists deficiencies between existing cloud information architecture and proposed ontology based architecture. Two additional modules have been introduced in model viz Query Retrieval and Query Refinement. Refinement of queries is done using Rocchio formula that extracts results based on relevance criteria i.e. by distinguishing relevant and non relevant results. They are introduced in order to get efficient indexed results after transforming user query.</p>",2017-09-07T08:14:17.976025+00:00,2020-01-20T12:57:12.165356+00:00,"Cloud computing, Deployment models, Query Retrieval and Refinement Mechanism.",10.5281/zenodo.886882,,cc-by-4.0,publication
Application of machine learning methods for filling and updating nuclear knowledge bases,"Telnov, Victor P., Korovin, Yury A.","<p>The paper deals with issues of designing and creating knowledge bases in the field of nuclear science and technology. The authors present the results of searching for and testing optimal classification and semantic annotation algorithms applied to the textual network content for the convenience of computer-aided filling and updating of scalable semantic repositories (knowledge bases) in the field of nuclear physics and nuclear power engineering and, in the future, for other subject areas, both in Russian and English. The proposed algorithms will provide a methodological and technological basis for creating problem-oriented knowledge bases as artificial intelligence systems, as well as prerequisites for the development of semantic technologies for acquiring new knowledge on the Internet without direct human participation. Testing of the studied machine learning algorithms is carried out by the cross-validation method using corpora of specialized texts. The novelty of the presented study lies in the application of the Pareto optimality principle for multi-criteria evaluation and ranking of the studied algorithms in the absence of a priori information about the comparative significance of the criteria. The project is implemented in accordance with the Semantic Web standards (RDF, OWL, SPARQL, etc.). There are no technological restrictions for integrating the created knowledge bases with third-party data repositories as well as metasearch, library, reference or information and question-answer systems. The proposed software solutions are based on cloud computing using DBaaS and PaaS service models to ensure the scalability of data warehouses and network services. The created software is in the public domain and can be freely replicated.</p>",2023-06-22T08:11:32.204201+00:00,2024-07-11T20:53:16.826940+00:00,"semantic web, knowledge base, machine learning, classification, semantic annotation, cloud computing",10.3897/nucet.9.106759,,cc-by-4.0,publication
