title,authors,abstract,year,keywords,doi,url,type
The CHAIN-REDS Semantic Search Engine,"Barbera, Roberto, Carrubba, Carla, Inserra, Giuseppina, Ricceri, Rita, Mayo-Garcia, Rafael","<p>e-Infrastructures, and in particular Data Repositories and Open Access Data Infrastructures, are essential platforms for e-Science and e-Research and are being built since several years both in Europe and the rest of the world to support diverse multi/inter-disciplinary Virtual Research Communities. So far, however, it is difficult for scientists to correlate papers to datasets used to produce them and to discover data and documents in an easy way. In this paper, the CHAINREDS project&rsquo;s Knowledge Base and its Semantic Search Engine are presented, which attempt to address those drawbacks and contribute to the reproducibility of science.</p>",2015,"CHAIN-REDS, Cloud Computing, Data Repositories, e-Infrastructures, Grid Computing, Linked Data, Search Engines, Semantic Web",10.5281/zenodo.7720,,publication
"Looking for the Identity of Information Science in the Age of Big Data, Computing Clouds and Social Networks","Barcellos Almeida, Mauricio, Rocha Souza, Renato, Baracho Porto, Renata","<p>In this paper we discuss, under a critical point of view, the current Information Science landscape and some future prospects regarding contemporary information phenomena. We present thoughts about the process of thematic deflation of Information Science, through the analysis of the research objects currently under development in this field. In addition to this, we look at the process of absorption of these and other relevant objects in distinguished knowledge fields. We seek to challenge the emphasis and the volume of interdisciplinary research within the field, and present some comments about what might be the results of such processes for the future of Information Science. Subsequently, we analyze the impact in the Information Science field due to phenomena like information boom, the consolidation of the social networks as interactive spaces, cloud computing, as well as other key elements.</p>",2015,"Information science, Epistemology, Interdisciplinary studies, Information technology",10.5281/zenodo.17953,,publication
Building context-rich Mobile Cloud Services for Mobile Cloud Applications,"Karadimce, Aleksandar","<p>Abstract: Today&rsquo;s mobile applications require more computational by intensive capabilities such as natural language<br />
processing, computer vision and graphics, machine learning etc. These demands cannot be met just by production of more<br />
powerful mobile devices. Therefore, mobile applications will have to become more personalized, context aware, and able to<br />
recognize not only the location of the user, but also their cognitive preferences. To support these demands, the future mobile<br />
computing applications will be built in environments that provide a set of context-rich support services. These applications<br />
will leverage the mobile and cloud computing technology in order to deliver mobile cloud applications or mCloud<br />
applications. Developers will use these context-rich support services as building blocks to realize a large class of basic mobile<br />
cloud services or mCloud services in short. Therefore, the main contribution of this paper is to propose a model of contextrich<br />
mCloud services that can support the development of mobile cloud applications. The proposed model will be verified by<br />
many use cases identifying the most appropriate services to generate custom-made multimedia output. The essence of the<br />
proposed model will consider the different aspects and influencing factors that are part of the Quality of Experience (QoE)<br />
process and metrics.</p>",2015,"mobile cloud applications, context-rich services, mobile cloud services, data mining",10.5281/zenodo.33143,,publication
Model of cloud-based services for data mining analysis,"Aleksandar Karadimce, Slobodan Kalajdziski, Danco Davcev","<p>New cloud-based services are being developed constantly in order to meet the need for faster, reliable and scalable methods for knowledge discovery. The major benefit of the cloud-based services is the efficient execution of heavy computation algorithms in the cloud simply by using Big Data storage and processing platforms. Therefore, we have proposed a model that provides data mining techniques as cloud-based services that are available to users on their demand. The widely known data mining algorithms have been implemented as Map/Reduce jobs that are been executed as services in cloud architecture. The user simply chooses or uploads the dataset to the cloud, makes appropriate settings for the data mining algorithm, executes the job request to be processed and receives the results. The major benefit of this model of cloud-based services is the efficient execution of heavy computation data mining algorithm in the cloud simply by using the Ankus - Open Source Big Data Mining Tool and StarfishHadoop Log Analyzer. The expected outcome of this research is to offer the integration of the cloud-based services for data mining analysis in order to provide researchers with reliable collaborative data mining analysis model.</p>",2016,"data mining, cloud computing services, Map/Reduce, web services, knowledge discovery",10.5539/cis.v8n4p40,,publication
Software Educativo para o ensino de vetores integrado aos conceitos de Cloud Computing e M-Learning,"Patricia Mariotto Mozzaquatro, Leo Natan Paschoal, Michele Ferraz Figueiró, Fabricio Soares Kronbauer, Rodrigo Luiz Antoniazzi","<p>It&acute;s been living a moment of big transformations and technological advances in the educational context. There is a variety of information searches, technologies and manners of available communication. The advances of Information and Communication Technologies is changing the way of how the user faces the technology, making available intelligent interfaces, multimedia resources, wireless communication and high velocities in the access to web data. Technologies, mainly the new technological environmental , in this case, the mobile devices can be considered as a tool in the measure of knowledge processes. In this context, this research seeked to develop an educational software to help in the solution of exercises about vectors, in order to use the mobile computing in the processes of teaching &ndash; learning. The software was validated by applying the tests of white box and black box. It is evident a good reception from the public.</p>",2016,,10.5281/zenodo.59426,,publication
Business Process as a Service (BPaaS): A Model-Based Approach for Smart Business and IT-Cloud Alignment,"Stefan Wesner, Jörg Domaschka, Robert Woitsch, Wilfrid Utz","<p>The use of cloud computing for the benefit of business is an ambitious goal considering the gap between domain-oriented business processes and executable workflows within a Cloud environment. This tutorial teaches a model based approach, where (a) business process specify the domain, (b) workflow models are used to orchestrate cloud offerings, (c) decision models are used for cloud infrastructure adaptations and (d) ontologies are used to semantically glue all parts together. Such a model-based approach enables both, (i) human oriented knowledge technologies and (ii) machine oriented knowledge technologies for a hybrid knowledge processing. This tutorial targets the practical use, the adaptation and implementation of aforementioned model-based knowledge processing and hence targets cloud brokers. These are limited by current “off the shelf” solutions that focus on delivering virtual server, but do not offer the possibility to “re-implement” individualized solution from scratch on a more business oriented level. Hence this tutorial provides initial solutions use but focuses on the adaptation, extension and re-implementation features of the enabling meta-modelling platform. The audience gets introduced into one of the leading meta-modelling platforms called ADOxx, in form of the world-wide active adoxx.org community, which provides tutorials and training in different application domains.</p>",2016,,10.5281/zenodo.164149,,publication
Towards Knowledge-Based Assisted IaaS Selection,"Kyriakos Kritikos, Kostas Magoutis, Dimitris Plexousakis","<p>Current PaaS platforms enable single or hybrid cloud deployments. However, such deployment types cannot best cover the user application requirements as they do not consider the great variety of services offered by different cloud providers and the effects of vendor lock-in. On the other hand, multi-cloud deployment enables selecting the best possible service among equivalent ones providing the best trade-off between performance and cost. In addition, it avoids cases of service level deterioration due to service underperformance as main effects of vendor lock-in. While many multi-cloud application deployment research prototypes have been proposed, such prototypes do not examine the effect that deployment decisions have on application performance. As such, they blindly attempt to satisfy low-level hardware requirements by neglecting the impact of allocation decisions on higher-level requirements at the component or application level. To this end, this paper proposes a new IaaS selection algorithm which, apart from being able to satisfy both low and high level requirements of different types, it also exploits deployment knowledge offered via reasoning over previous application execution histories to take the best possible allocation decisions. The experimental evaluation clearly shows that by considering this extra knowledge, more optimal deployment solutions are derived, able to maintain the service levels requested by users, in less solving time.</p>",2016,"IaaS, selection, knowledge base, rules, evaluation, requirements, placement, location, security, performance, quality of service, deployment",10.5281/zenodo.164165,,publication
D3.1_Procurement Barriers Report,"Marina Bregu, Damir Savanovic, Daniele Catteddu","<p>The acquisition of IT services is key to any public or private organisation and the advent of cloud computing requires innovation in the procurement of cloud services.</p>

<p>Although cloud computing has become increasingly popular, it appears that potential customers, in the public sector in general and in the research community in particular, are facing barriers that inhibit the wider adoption of cloud services.</p>

<p>This report presents a list of barriers to cloud services procurement identified through literature, in-depth interviews of IT managers surveyed over a period of 3 months, and input provided by the PICSE Task Force members as well as intergovernmental research organisations such as CERN and EMBL. The survey demonstrated that barriers to cloud service procurement mainly relate to the adoption of new technology (i.e. cloud computing) and the procurement process itself.</p>

<p>The first category encompasses legal jurisdiction impediments, which Eurostat [1] highlighted as one of the main barriers to the procurement of cloud services. Indeed, services are often hosted in one country and consumed in another, hence cloud consumers&rsquo; uncertainty about data location and the applicable laws in case of dispute or in relation to compliance. Prerequisites such as expertise and knowledge of both contractual and operational aspects also impede the purchase of cloud computing services. The barriers posed by the procurement process vary depending on the type of process used. Restricted procurement processes suffer from a lack of competition and higher costs while open procurement processes are time consuming, require detailed specifications to be ready at the start of the procurement process and therefore lead to higher tendering and evaluation costs.</p>

<p>Cloud marketplaces and brokerage services are seen as aiding the procurement process but suffering from under-investment and thus not sufficiently mature. In addition, the nature of cloud services and the pay-per-use method can complicate budget planning for research organisations. Therefore, framework procurement agreements are perceived as a good alternative for the procurement of cloud services; along with PCP (Pre-Commercial Procurement), PPI (Public Procurement of Innovative solutions), and JPA (Joint Procurement Actions), which could potentially fulfil the needs of the research community.</p>

<p>To combat this situation and increase the uptake of cloud computing in the public research sector, cloud service providers (CSPs) are advised to increase transparency in their offers; particularly regarding security, privacy and data management, ensure the trustworthiness of their privacy policies and improve the Service Level Agreements (SLA) so that their offers stand out.</p>

<p>Similarly users are advised to acknowledge that the commoditisation of IT services that cloud services represents has economic advantages and that customisation of those services will increase procurement costs and potentially increase service provider dependence.</p>",2016,"Procurement, barriers, cloud services",10.5281/zenodo.18309,,publication
"Statika: managing cloud resources, bioinformatics tools and data","Alekhin, Alexey","<p>Next Generation Sequencing (NGS) has brought a revolution to the bioinformatics landscape, definitely reshaping fields such as genomics and transcriptomics, by offering sheer amounts of data about previously inaccessible domains in a cheap and scalable way. Thus biological data analysis demands, more than ever, high performance computing architectures; in particular, Cloud Computing, a comparable breakthrough in the IT world, holds promise for being the foundation on which a solution could be built (as already demonstrated by pioneering efforts such as Galaxy or CloudBioLinux). It provides a perfect framework for high throughput data analysis: deploying architectures with as much computing capacity as needed, scaling in an horizontal way, being also able to scale down adjusting to the computing needs real time, or the pay-as-you-go model make for a strong case.</p>

<p>However, fast, reproducible, and cost-effective data analysis in the cloud at such scale remains elusive. Certainly, one fundamental prerequisite for achieving this is having the ability to manage both the tools and data to be used in a robust, reproducible, and automated way. High throughput analysis, where a lot of resources are to be used and paid for, needs to have a robust configuration system to rely on. In the cloud computing world, due to its on-demand nature, automated resource configuration is a critical factor. This is even more so in the case of bioinformatics analysis where pretty often a pretty intricated and unstable chain of dependencies underlies tools and data; knowing beforehand that all the resources to be used are properly configured is invaluable.</p>

<p>Statika (http://ohnosequences.com/statika) aims to be a basic tool for the declaration and deployment of composable, versioned and reproducible cloud infrastructures for the bioinformatics space.</p>

<p>Data, tools and infrastructure are treated on an equal footing, and a expressive domain specific language allows the user to express complex dependency relationships, check for possible version conflicts and automatically choose a safe resource creation order.&nbsp;</p>

<p>By making use of advanced features of the Scala programming language such as dependent types and type-level computations a great deal of structure can be expressed abstractly, and checked at compile time before any cost is incurred. A strong versioning system where both data and tools are included makes reproducibility not only possible but actually enforced.&nbsp;</p>

<p>Statika has been put to work on scenarios as different as a cloud-based system for scaling inherently parallel computations in the bioinformatics domain: Nispero, or by providing versioned and modular automated deployments of Bio4j, a graph database integrating all data from key resources in the bioinformatics data space, including: UniProt, Gene Ontology, the NCBI Taxonomy or UniRef. We use it internally for the integration and automated deployment of all sort of bioinformatics tools and data.</p>

<p>Statika is open source, available under the AGPLv3 license.</p>

<p>&nbsp;</p>

<div>&nbsp;</div>",2016,,10.5281/zenodo.35101,,poster
Statika: managing bioinformatics tools and resources in the cloud,"Alekhin, Alexey","<p>Next Generation Sequencing has revolutionized the bioinformatics landscape, reshaping fields such as genomics and transcriptomics, by offering huge amounts of data about previously inaccessible domains in a cheap and scalable way. Thus, biological data analysis demands, more than ever, high performance computing architectures. Cloud Computing, a comparable breakthrough in the IT world, holds promise for being the foundation on which a solution could be built (as already demonstrated by pioneering efforts such as Galaxy or CloudBioLinux). It provides a perfect framework for high throughput data analysis: deploying architectures with as much computing capacity as needed, scaling in a horizontal way, being also able to scale down adjusting to the computing needs real time, with the pay-as-you-go model.</p>

<p>However, fast and cost-effective data analysis in the cloud at such scale remains elusive. High throughput analysis, where a lot of resources are to be used and paid for, critically needs to have an ability to manage both the tools and data in a robust, reproducible and automated way. As in bioinformatics analysis often a pretty complex and unstable chain of dependencies underlies tools and data, knowing beforehand that all the resources to be used are properly configured is invaluable.</p>

<p>Statika (http://ohnosequences.com/statika) aims to be a basic tool for the declaration and automated deployment of composable cloud infrastructures for the bioinformatics space. Using Statika data, tools and infrastructure are treated on an equal basis with a expressive domain specific language that allows the user to express complex dependency relationships. Statika will automatically check for possible version conflicts and choose a safe resource creation order.</p>

<p>Statika has been applied in different scenarios: from a cloud-based system for scalable and composable parallel computations in the bioinformatics domain as in Nispero tool, to modular automated deployments of complex databases as Bio4j. Bio4j (bio4j.com)is a graph database integrating all data from key resources in the bioinformatics data space, including UniProt, Gene Ontology, the NCBI Taxonomy or UniRef. We use Statika internally for the integration and automated deployment of all sort of bioinformatics tools and data.</p>

<p>Statika is open source, available under the AGPLv3 license.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<div>&nbsp;</div>",2016,,10.5281/zenodo.35104,,poster
