title,author,description,created,updated,language,stars,url,license
cloud-ontology,Turux,Attempt to capture Cloud Computing architecture in a OWL2 Ontology,2020-06-25T14:14:25Z,2020-10-21T09:25:52Z,,0,https://github.com/Turux/cloud-ontology,GNU General Public License v3.0
Cloud-Computing-Ontology,Samukelo09,"Our project develops a cloud computing ontology that models service and deployment types, resources, performance, cost, and security attributes. It supports semantic representation and reasoning to improve cloud service discovery, comparison, and optimization.",2025-05-24T18:47:54Z,2025-07-13T02:18:45Z,,0,https://github.com/Samukelo09/Cloud-Computing-Ontology,
business-process-compliance-in-cloud-computing-using-ontology,9JohnBosco,,2023-10-22T09:53:10Z,2023-10-22T09:53:10Z,,0,https://github.com/9JohnBosco/business-process-compliance-in-cloud-computing-using-ontology,
Projects,David-Luke-Issac-Prabhu,"A collection of projects showcasing my work in AI, Machine Learning, Cloud Computing, and Knowledge Engineering. Includes implementations in Explainable AI, Ontologies, and Cloud Infrastructure Automation.",2025-01-30T01:27:55Z,2025-05-30T13:15:11Z,Jupyter Notebook,1,https://github.com/David-Luke-Issac-Prabhu/Projects,
Java-Sips,rqueraud,Cloud computing pricing & Semantic web,2016-06-17T10:22:59Z,2016-07-15T16:15:47Z,Web Ontology Language,0,https://github.com/rqueraud/Java-Sips,
Web_Programming_Languages,Dharmam,"Advanced understanding of web architecture, standards, protocols, tools, and technologies. Tools required for web programming including HTML, CSS, and JavaScript; XML and database technologies; server-side programming using PHP; Web security protocols and standards; techniques and algorithms related to web services, cloud computing, and semantic web. ",2017-02-20T02:04:18Z,2017-02-20T02:26:48Z,HTML,0,https://github.com/Dharmam/Web_Programming_Languages,
Web-Based-Application-for-Real-Time-Semantic-Segmentation,Nehal-Kadam,"It is an On Semantic Web-Based Application for Real-Time Semantic Segmentation with Geo Spatial Report. My goal was to develop a real-time, on-device segmentation tool that works efficiently without depending on cloud computing. This would make it faster, more accessible, and cost-effective, especially for GIS and remote sensing applications.",2025-02-22T06:51:18Z,2025-02-22T07:01:16Z,Python,0,https://github.com/Nehal-Kadam/Web-Based-Application-for-Real-Time-Semantic-Segmentation,MIT License
research_resources,cqunlp,"Resources of CQU CS 1701 research, include NLP, Knowledge Graph,Cloud Computing, etc.",2018-08-21T10:27:30Z,2025-10-27T01:36:10Z,,138,https://github.com/cqunlp/research_resources,
auto_kg,ac56,This project implements a pipeline for the automatic generation of a knowledge graph regarding cloud computing products and involves the collection of web textual data from vendor websites and the unsupervised classification of cloud service features using few-shot classification by prompting Google's Gemini model.,2024-10-17T10:24:17Z,2024-11-04T01:19:21Z,Python,1,https://github.com/ac56/auto_kg,
LinkedDataRevisited,johnataylor,Various experiments with Linked-Data in particular its application to enterprise and cloud computing needs,2016-02-15T19:58:21Z,2020-03-13T12:53:03Z,C#,1,https://github.com/johnataylor/LinkedDataRevisited,
multi-cloud-ontology,mhnorazian,,2025-08-07T04:27:45Z,2025-08-07T05:46:31Z,,0,https://github.com/mhnorazian/multi-cloud-ontology,Other
