title,authors,doi,year,source,url
Cloud software code generation via knowledge graphs and multi-modal learning,Zhang F.,10.1186/s13677-025-00758-5,2025-12-01,Journal of Cloud Computing,https://api.elsevier.com/content/abstract/scopus_id/105010118826
Digital-based emergency prevention and control system: enhancing infection control in psychiatric hospitals,Yang M.,10.1186/s12911-024-02809-4,2025-12-01,BMC Medical Informatics and Decision Making,https://api.elsevier.com/content/abstract/scopus_id/85214278912
Integrating semantic web into context-aware mobile application based on cloud computing,Lai T.Y.,10.1186/s13677-025-00731-2,2025-12-01,Journal of Cloud Computing,https://api.elsevier.com/content/abstract/scopus_id/85218336678
FUSION: a web-based application for in-depth exploration of multi-omics data with brightfield histology,Border S.P.,10.1038/s41467-025-63050-9,2025-12-01,Nature Communications,https://api.elsevier.com/content/abstract/scopus_id/105017185992
Enabling efficient and accurate semantic search over encrypted cloud data,Tang Z.,10.1016/j.ins.2025.122437,2025-11-01,Information Sciences,https://api.elsevier.com/content/abstract/scopus_id/105008675191
Research and System Design of Digital Education Mechanism for Vocational Education in Cloud Computing Environment,Zhang Y.,10.1145/3756580.3756665,2025-09-22,Proceedings of 2025 6th International Conference on Education Knowledge and Information Management Icekim 2025,https://api.elsevier.com/content/abstract/scopus_id/105020252210
Flow-ICP: semantic segmentation of point clouds based on 4D time-series alignment,Tan S.,10.1364/AO.562944,2025-09-20,Applied Optics,https://api.elsevier.com/content/abstract/scopus_id/105016666292
A Knowledge Recommendation Method for Product Form Design Integrating Crowd-Intelligence Context Similarity and Trust Relationships in Cloud Environments,Chen J.,10.3390/app15179369,2025-09-01,Applied Sciences Switzerland,https://api.elsevier.com/content/abstract/scopus_id/105015455989
Building a Learning Health System-Focused Trusted Research Environment for Mental Health,Leeming G.,10.3233/SHTI250824,2025-08-07,Studies in Health Technology and Informatics,https://api.elsevier.com/content/abstract/scopus_id/105013330011
Symmetric Encryption-Based Cloud Data Security Transmission System in Communication Networks,Li T.,10.1142/S0218126625502603,2025-08-01,Journal of Circuits Systems and Computers,https://api.elsevier.com/content/abstract/scopus_id/105005611619
A FIT4NER Generic Approach for Framework-Independent Medical Named Entity Recognition †,Freund F.,10.3390/info16070554,2025-07-01,Information Switzerland,https://api.elsevier.com/content/abstract/scopus_id/105011633270
"AD Workbench: Transforming Alzheimer's research with secure, global, and collaborative data sharing and analysis",McHugh C.P.,10.1002/alz.70278,2025-05-01,Alzheimer S and Dementia,https://api.elsevier.com/content/abstract/scopus_id/105005447022
RotInv-PCT: Rotation-Invariant Point Cloud Transformer via feature separation and aggregation,He C.,10.1016/j.neunet.2025.107223,2025-05-01,Neural Networks,https://api.elsevier.com/content/abstract/scopus_id/85217089111
Sublinear smart semantic search based on knowledge graph over encrypted database,Li J.,10.1016/j.cose.2025.104319,2025-04-01,Computers and Security,https://api.elsevier.com/content/abstract/scopus_id/85215604988
A Cross-Chain-Based Access Control Framework for Cloud Environment,Belcaid S.,10.3390/fi17040149,2025-04-01,Future Internet,https://api.elsevier.com/content/abstract/scopus_id/105003452885
Efficient encrypted semantic search method toward internet of vehicles,Wang R.,10.1007/s11227-025-06981-w,2025-03-01,Journal of Supercomputing,https://api.elsevier.com/content/abstract/scopus_id/85218468101
OntoIDF: a smart knowledge-based framework for intrusion detection in autonomous cloud computing environment,Kaur B.,10.1007/s41870-024-02362-3,2025-03-01,International Journal of Information Technology Singapore,https://api.elsevier.com/content/abstract/scopus_id/85212707282
Blockchain-Powered Framework for Trust Enhancement in FinTech: A Comprehensive Trust Evaluation Approach,Vairagade R.S.,10.1002/cpe.8357,2025-02-01,Concurrency and Computation Practice and Experience,https://api.elsevier.com/content/abstract/scopus_id/85215520878
Collaborative and Observability Enhanced Fault Injection for Resilient Cloud-Edge Computing,Ruan J.,10.1142/S0218194025410050,2025-01-01,International Journal of Software Engineering and Knowledge Engineering,https://api.elsevier.com/content/abstract/scopus_id/105011369543
DiffMSR: A Multi-Semantic Graph Diffusion Model for Service Recommendation,Xie X.,10.1109/TSC.2025.3596891,2025-01-01,IEEE Transactions on Services Computing,https://api.elsevier.com/content/abstract/scopus_id/105013100068
Internet of Twins Approach: Digital-Twin-as-a-Platform Architecture,Cakir L.V.,10.1109/MIC.2024.3491915,2025-01-01,IEEE Internet Computing,https://api.elsevier.com/content/abstract/scopus_id/105003038423
A Semantic Driven Framework for Energy Efficient Task Scheduling in Dynamic Cloud Environment,Aarav Kannan J.,10.1109/ICSADL65848.2025.10933265,2025-01-01,4th International Conference on Sentiment Analysis and Deep Learning Icsadl 2025 Proceedings,https://api.elsevier.com/content/abstract/scopus_id/105002451927
Service Recommendation Based on Multi-Level View Contrastive Learning,Xie X.,10.1109/TNSM.2024.3510399,2025-01-01,IEEE Transactions on Network and Service Management,https://api.elsevier.com/content/abstract/scopus_id/85211043256
Multi-Cloud Semantic Orchestration of AI-Driven Pipelines for Privacy-First LLM Inference,Jakku P.C.,10.1109/ICCTDC64446.2025.11158733,2025-01-01,2025 International Conference on Computing Technologies and Data Communication Icctdc 2025,https://api.elsevier.com/content/abstract/scopus_id/105019056602
MPKAN: APT Attack Detection on Audit Logs via Graph Semantic Enhancement,Wang Z.,10.1109/CSCWD64889.2025.11033314,2025-01-01,Proceedings of the International Conference on Computer Supported Cooperative Work in Design Cscwd,https://api.elsevier.com/content/abstract/scopus_id/105011540165
Towards Seamless Multi-cloud Integration: Algorithmic Approaches to Data Distribution,Kartashov A.,10.1007/978-3-031-94799-5_3,2025-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/105013258305
Semantic Technologies Applied to Blockchain for Cloud Computing Services Marketplace Implementation,Esposito A.,10.4018/IJSWIS.387386,2025-01-01,International Journal on Semantic Web and Information Systems,https://api.elsevier.com/content/abstract/scopus_id/105012944087
A Framework to Detect Anomalies in Cloud Using Semantics and Deep Learning,Maroju A.,10.1007/978-981-96-3253-4_40,2025-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/105010653021
Security Ontologies in Cloud Computing,Yalla S.T.,10.1109/INCET64471.2025.11139896,2025-01-01,2025 6th International Conference for Emerging Technology Incet 2025,https://api.elsevier.com/content/abstract/scopus_id/105016786889
AI Course Equivalency using Word Mover's Distance and Semantic Analysis with NLP in Cloud Computing,Krishnan S.,10.1109/ICAISS61471.2025.11042139,2025-01-01,Proceedings of 3rd International Conference on Augmented Intelligence and Sustainable Systems Icaiss 2025,https://api.elsevier.com/content/abstract/scopus_id/105010777024
CSVA: Complexity-Driven and Semantic-Aware Video Analytics via Edge-Cloud Collaboration,Liu J.,10.1007/978-981-96-8731-2_11,2025-01-01,Lecture Notes in Computer Science,https://api.elsevier.com/content/abstract/scopus_id/105010020189
Performance Assessing of Dynamic Scaling of Containerized Applications When Using Kubernetes Cluster Autoscaler and Auto Scaling Group Together,Romanov O.,10.1007/978-3-031-94799-5_7,2025-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/105013338240
Cloud Meta-services: An Ontological Contribution,Makhlouf R.,10.1007/978-3-031-81325-2_14,2025-01-01,Lecture Notes in Business Information Processing,https://api.elsevier.com/content/abstract/scopus_id/86000463119
Distilling Benign Knowledge with Fine-Grained AST Fragments for Precise Real-World Web Shell Detection,Gao M.,10.1109/IWQoS65803.2025.11143530,2025-01-01,IEEE International Workshop on Quality of Service Iwqos,https://api.elsevier.com/content/abstract/scopus_id/105016993027
An Extended Genetic Algorithm Based on QoS Ontology for Virtual SaaS Selection in Cloud Computing,Sana K.,10.1007/978-3-031-97000-9_12,2025-01-01,Lecture Notes in Computer Science,https://api.elsevier.com/content/abstract/scopus_id/105010214149
