title,author,description,created,updated,keywords,url,license
Semantic web and knowledge graphs as an educational technology of personnel training for nuclear power engineering,"Telnov, Victor, Korovin, Yuri","<p>The technologies of knowledge representation and inference in an artificial intelligence system focused on the domain of nuclear physics and nuclear power engineering are considered. The possibilities of description logics and graph databases of nuclear knowledge for the generation of cognitive hypotheses, using in addition to deduction and other ways of reasoning, such as inductive inference and reasoning based on analogies, are discussed. The use of adequate description logic and measures of semantic similarity is substantiated. Interactive visual navigation and reasoning on the knowledge graphs are performed by means of special retrieval widgets and the smart RDF browser. Operations with semantic repositories are implemented on cloud platforms using SPARQL queries and RESTful services. The proposed software solutions are based on cloud computing using DBaaS and PaaS service models to ensure scalability of data warehouses and network services. Example of use of the offered technologies and software has been given.</p>",2019-09-25,2024-07-22T18:02:48.397932+00:00,"Nuclear education, semantic web, knowledge graph, cloud computing",10.3897/nucet.5.39226,cc-by-4.0
A Novel Approach for Healthcare Information System using Cloud,"R. Jeena, G. Dhanalakshmi, S. Irin Sherly, S. Ashwini, R. Vidhya","<p><strong>Abstract</strong>: The main objective of this paper is to outline a Cloud Computing based Healthcare Information System that helps bridge the gap between various hospitals, patients and clinics by creating a central hub of patient details and health care history that is accessible via two interfaces- either the mobile app or the web application.</p>",2021-03-30,2024-07-11T23:01:44.130703+00:00,Cloud Computing.,10.35940/ijrte.F5327.039621,cc-by-4.0
Towards a Knowledge Graph Enhanced Automation and Collaboration Framework for Digital Twins,"Christou, Vasileios, Wang, Yuandou, Zhao, Zhiming","<p><em>The Digital Twin (DT) provides a digital representation</em></p>

<p><em>of a physical system and allows users to interactively study</em></p>

<p><em>the physical processes of a real system via the digital representation</em></p>

<p><em>in different scenarios in real time. The development</em></p>

<p><em>of a DT is highly complex; it requires not only expertise from</em></p>

<p><em>multiple disciplines but also the integration of often heterogeneous</em></p>

<p><em>software components, e.g., simulations, machine learning,</em></p>

<p><em>visualization, and user interface components across distributed</em></p>

<p><em>environments. This poster presents a Knowledge Graph-based</em></p>

<p><em>ontological framework to boost automation and collaboration</em></p>

<p><em>during the DT lifecycle stages. We implement our methods in</em></p>

<p><em>developing a what-if analysis service for a DT of an ecosystem</em></p>

<p><em>of wetlands and its automated deployment to the Amazon Web</em></p>

<p><em>Services (AWS) cloud.</em></p>",2023-10-06,2024-07-11T03:28:35.842535+00:00,"Digital Twin, Semantic Web, Knowledge Graph, Ontology, Cloud Computing, What-If Analysis",10.1109/E-SCIENCE58273.2023.10254845,cc-by-4.0
Automating Cloud Security and Compliance at Scale Strategies and Best Practices,"Rajashekar Reddy Yasani, Karthik Venkatesh Ratnam","<p><span>Many rules, guidelines, and software controls have been developed by various agencies and standards bodies throughout the world to address data protection concerns, and they are all meant to be applied to data stored in the Cloud. Compliance obligations have so increased for service providers who store private information about their end users. It takes a lot of human work to follow these rules because they aren't in a machine-processable format. Providers often have to put in extra work to meet all of the regulations because numerous laws have similar requirements but don't mention each other. Every single data protection regulation that pertains to data stored in the cloud has been thoroughly researched by us. We have created a knowledge graph that incorporates all of these data compliance rules and is rich in semantic information. This encompasses both the data threats and the necessary security policies to lessen those risks. In this work, we showcase this knowledge graph and the evaluation system we built in great detail. We have checked our knowledge graph with the privacy policies of several cloud providers, including Rackspace, Amazon Web Services, Google Cloud, and IBM. Businesses may automate their compliance procedures and establish enterprise-level Cloud security rules with the help of this publicly-available knowledge graph.</span></p>",2020-02-29,2024-10-10T11:57:59.544339+00:00,"Cloud computing, cloud security, security domains, security compliance models, cloud security models",10.5281/zenodo.13912688,cc-by-4.0
PATTERNS IN FORMING THE ONTOLOGY-BASED ENVIRONMENT OF INFORMATION-ANALYTICAL ACTIVITY IN ADMINISTRATIVE MANAGEMENT,"Oleksandr Nesterenko, Oleksandr Trofymchuk","<p>A new paradigm of the formation of the environment of informational-analytical activity in administrative management based on ontologies was proposed. It was shown that application of this approach makes it possible to formalize domain area and structure the information necessary for analytical activity. It was established that the use of ontological descriptions in the technological chain of analytical activity ensures dynamic formation for the analysis of the respective sets of the criteria based on the use of the properties of concepts of the domain areas, by which appropriate decisions are made. It is noted that the process of solving an analytical problem may represent a certain sequence of ordered tautologies, each of which inherits all the properties of the concepts that make up the tautology that directly precedes it. In turn, this sequence determines the set of possible taxonomies as functional components of the operational environment of informational-analytical activity. To support the work of an analyst, it is proposed to apply the hierarchies of ontologies from the upper level to the subject ontologies, including the intermediate level of the ontology core. The ontology core is expanding through ontological linking of ontology classes to such information resources as classifiers. Correctness and adequacy of such decision is proved by the use of this paradigm to solve the problem of administrative monitoring of socio-economic development of the regions of a country from the state level to local self-government</p>",2019-10-31,2024-07-22T16:12:48.462905+00:00,"informational-analytical system, management body, administrative management, information resources, ontology, taxonomy, classifier",10.15587/1729-4061.2019.180107,cc-by-4.0
Semantic SLA for Clouds: Combining SLAC and OWL-Q,"Kyriakos Kritikos, Rafael Brundo Uriarte","<p>Several SLA languages have been proposed, some specifically for the cloud domain. However, after extensively<br>
analysing the domain’s requirements considering the SLA lifecycle, we conclude that none of them covers the<br>
necessary aspects for application in diverse real-world scenarios. In this paper, we propose SSLAC, where we<br>
combine the capabilities of two prominent service specification and SLA languages: OWL-Q and SLAC. These<br>
languages have different scopes but complementary features. SLAC is domain specific with validation and<br>
verification capabilities. OWL-Q is a higher level language based on ontologies and well defined semantics.<br>
Their combination advances the state of the art in many perspectives. It enables the SLA’s semantic verification<br>
and inference and, at the same time, its constraint-based modelling and enforcement. It also provides a complete<br>
formal approach for defining non-functional terms and an enforcement framework covering real-world scenarios.<br>
The advantages of SSLAC, in terms of expressiveness and features, are then shown in a use case modelled by it.</p>",2017-04-24,2024-08-03T01:42:58.935473+00:00,"SLA, Cloud Computing",10.5281/zenodo.1001162,cc-by-4.0
Providing a New Model for Discovering Cloud Services Based on Ontology,"Heydari, B., Aajami, M.","<p>Due to its efficient, flexible, and dynamic substructure in information technology and service quality parameters estimation, cloud computing has become one of the most important issues in computer world. Discovering cloud services has been posed as a fundamental issue in reaching out high efficiency. In order to do one&rsquo;s own operations in cloud space, any user needs to request several various services either simultaneously or according to a working routine. These services can be presented by different cloud producers or different decision-making policies. Therefore, service management is one of the important and challenging issues in cloud computing. With the advent of semantic web and practical services accordingly in cloud computing space, access to different kinds of applications has become possible. Ontology is the core of semantic web and can be used to ease the process of discovering services. A new model based on ontology has been proposed in this paper. The results indicate that the proposed model has explored cloud services based on user search results in lesser time compared to other models.</p>",2017-12-18,2024-08-02T21:46:42.417181+00:00,"cloud, computing, service, semantic, web, ontology",10.5281/zenodo.1118362,cc-by-4.0
Integrating Salesforce with Cybersecurity Tools for Enhanced Data Protection (Chronicle SIEM),Venkat Sumanth Guduru,"<p><span>In the light of evolving advanced threats, it is imperative that organizations develop proper and robust security frameworks for safeguarding their information assets. Especially, Salesforce, a best of breed CRM ahead, is more easily attacked since this platform processes countless customer data. Consequently, protection of this data with traditional security measures may not be adequate. On the one hand, the implementation of Salesforce in conjunction with Chronicle Security Information and Event Management (SIEM), which is a contemporary security solution by Google Cloud, provides the most comprehensive way of monitoring and, subsequently, mitigating possible threats in real time. This paper therefore seeks to discuss this integration in details with a focus on its architecture and implementation in order to show how the architecture makes it easier for one to protect data than when using two separate systems. It is the extraction and normalization of the data from Salesforce, the transfer of the data through a pipeline and the conversion of the data for processing in Chronicle SIEM. Specific issues, such as data change and legal requirements, are explained, and several advantages associated with the improved security level and simplification of the process of handling incidents are listed. There is also Python pseudocode and flowcharts as well as architecture diagrams used in the process of integration included in the paper. By integration of the solutions, organizations are quickly in a position to increase the level of data security, especially in relation to the increasing threats in cyberspace as well as meeting the regulatory requirement.</span></p>",2024-08-31,2024-09-19T11:04:34.787157+00:00,"Salesforce Integration: means integration of salesforce with other applications to improve utility and exchange of information., Chronicle SIEM: A Security Information and Event Management system used to the detection and analysis of security events., Data Transformation: Data acquisition from their native source, usually implying the change of data format to a more usable or manageable one., Middleware: A middle-ware software that is responsible for transferring, processing and formatting data between Salesforce and Chronicle SIEM., Security Data: Security incidents, user's actions, and any event logs concerning the information system. Event Monitoring: The way of monitoring and reviewing events and logs so as to identify possible security threats.  Cloud-based Services: Salesforce, Chronicle SIEM and other Internet-based solutions and services that can be accessed and operated through the internet., Data Normalization: The task of converting data into format that is same as in all systems to make synchronization possible.",10.5281/zenodo.13789978,cc-by-4.0
A CROMLECH EDITION OF CLOUD COMPUTING FRAMEWORK USING CONCEPT OF ONTOLOGY WITH QUERY RETRIEVAL AND REFINEMENT MECHANISM,Navita,"<p>We all are living in the world of clouds. User has become adaptive to latest technology trends of information and communication technologies. Cloud computing has made our lives practical and keeps providing us services like consulting, data management and storage in efficient way. Cloud computing is one of emerging areas that is prevailing in industries at grandiose rate. It is combination of Internet and centralized network servers forming a mesh called CLOUD. In this paper, various aspects of cloud computing and its applications are presented. Some differences are provided between network models of cloud computing that are governing organizations and enterprisers. For achieving fault tolerance strategy, there is need to introduce multiple clouds and resource management architecture.</p>

<p>It is believed that existing model must be improved time to time to ensure efficient computing of tasks. The paper presents an improved version of cloud computing detailed architecture. It lists deficiencies between existing cloud information architecture and proposed ontology based architecture. Two additional modules have been introduced in model viz Query Retrieval and Query Refinement. Refinement of queries is done using Rocchio formula that extracts results based on relevance criteria i.e. by distinguishing relevant and non relevant results. They are introduced in order to get efficient indexed results after transforming user query.</p>",2017-09-07,2020-01-20T12:57:12.165356+00:00,"Cloud computing, Deployment models, Query Retrieval and Refinement Mechanism.",10.5281/zenodo.886882,cc-by-4.0
Modeling and Simulation of Real-Time Virtual Machine Allocation in a Cloud Data Center,S. Jason,"<p><strong>Abstract: </strong>For dynamic resource scheduling in cloud data centers, a novel lightweight simulation system is proposed; two existing simulation systems at the application level for cloud computing are reviewed; and results gained using the suggested simulation system are examined and discussed. The usage of resources and energy efficiency in cloud data centers can be improved by load balancing and the consolidation of virtual machines. An aspect of dynamic virtual machine consolidation that directly affects resource usage and the quality of service the system is delivering is the timing of when it is ideal to reallocate Virtual Machines from an overloaded host [1]. Because server overloads result in a lack of resources and a decline in application performance, they have an impact on quality of service. In order to determine the best answer, existing approaches to the problem of host overload detection typically rely on statistical analysis inspired by nature. These strategies&#39; drawbacks include the fact that they provide less-than-ideal outcomes and prevent the explicit articulation of a Quality-of-Service target. By optimizing the mean inter-migration time under the defined Quality of Service target ideally, we present a novel method for detecting host overload for any stationary workload that is known and a particular state configuration [2]. We demonstrate that our technique exceeds the best benchmark algorithm and offers over 88%of the performance of the ideal offline algorithm through simulations with real-world workload traces from more than a thousand Virtual Machines.</p>",2023-06-30,2024-07-11T20:40:05.777119+00:00,Cloud Computing; Data Centers; Dynamic Resource Scheduling; Lightweight Simulation System,10.35940/ijeat.E4182.0612523,cc-by-4.0
