"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SQF6UM5H","conferencePaper","2020","J. Liu","Convolutional Neural Network based Matchmaking for Service Oriented System Construction","2020 IEEE 10th International Conference on Electronics Information and Emergency Communication (ICEIEC)","2377-844X","","10.1109/ICEIEC49280.2020.9152343","","In recent years, service-oriented computing, as a new computing paradigm, has been developed rapidly. Following this trend, more and more Web services and cloud services have been developed and made publicly available on the Web. These publicly available services will be important components for service-oriented system construction. However, these large numbers of services increase the burden of service selection in service-oriented system construction. This paper proposes a convolutional neural network-based service matchmaking approach to match services according to developer requests in service-oriented system construction. In the model, the convolutional neural network aims to learn the semantic feature representation for matchmaking. We experimented on a real-world dataset, ProgammableWeb.com, and experiment results show that the proposed approach can help find relevant services according to developer requests.","2020-07-17","2025-11-10 09:28:45","2025-11-10 09:28:45","","204-207","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 IEEE 10th International Conference on Electronics Information and Emergency Communication (ICEIEC)","","","","Semantics; Ontologies; Convolutional neural networks; Mashups; Task analysis; Feature extraction; Convolutional Neural Network; Matchmaking; Service-oriented System","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE 10th International Conference on Electronics Information and Emergency Communication (ICEIEC)","","","","","","","","","","","","","","",""
"JX4S5S6H","conferencePaper","2020","C. Recchuto; L. Gava; L. Grassi; A. Grillo; M. Lagomarsino; D. Lanza; Z. Liu; C. Papadopoulos; I. Papadopoulos; A. Scalmato; A. Sgorbissa","Cloud Services for Culture Aware Conversation: Socially Assistive Robots and Virtual Assistants","2020 17th International Conference on Ubiquitous Robots (UR)","2325-033X","","10.1109/UR49135.2020.9144750","","This paper introduces a new Cloud platform providing services for culturally competent interaction, that has been developed to expand the capabilities of Socially Assistive Robots and virtual assistants interacting with older persons. The rationale behind the proposed architecture is discussed, by outlining key principles as well as the functionalities provided, with a specific focus on verbal interaction. Three case studies, the humanoid robot Pepper, a robotic medicine dispenser Pillo, and a custom-built Android-based virtual assistant, are analyzed in detail, by showing how robots and other assistants may easily access culturally competent Cloud services to expand their interaction capabilities. Transcripts of conversations are reported and commented, in order to outline both the positive features and the limitations of the system.","2020-06-22","2025-11-10 09:28:45","2025-11-10 09:28:45","","270-277","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 17th International Conference on Ubiquitous Robots (UR)","","","","Cloud computing; Task analysis; Personal digital assistants; Robot sensing systems; Cultural differences; Humanoid robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 17th International Conference on Ubiquitous Robots (UR)","","","","","","","","","","","","","","",""
"VM7XUML8","journalArticle","2020","S. Ding; J. Han; X. Meng; F. Ma","Multi-Granularity Modeling and Aggregation of Design Resources in Cloud Manufacturing","IEEE Access","","2169-3536","10.1109/ACCESS.2020.3009678","","In most Cloud Manufacturing (CMfg) systems, Design Resource (DR) is encapsulated into cloud service under a fine-grained condition. However, due to the small granularity of DRs provided by cloud provider, it is difficult for the cloud services to match with design tasks if there is no initiative resource. For example, because of the lack of initiative perception capabilities, it is difficult for design software to match with design tasks directly. A method of DR multi-granularity modeling with two-stage aggregation is proposed, by which the resource granularity is increased and dynamic design capability is formed. In the proposed DR multi-granularity model, DRs are classified into three granularities: Static Physical Resource (SPR), Dynamic Capacity Resource (DCR), and Cross-functional Design Unit (CDU). Their ontology models are set up to represent the basic function, structure and component of DRs. In the two-stage aggregation of DRs, two strategies are proposed to increase the granularity of DRs. The first is DCR aggregation strategy based on auxiliary resources actively pushing, and the second is CDU aggregation strategy based on meta task and meta capability matching. Using the operation parameters of DRs and the associated evaluation matrix, a method of DCR and CDU evaluation is proposed to optimize the searched DRs. With the help of the preceding multi-granularity DR modeling and the two-stage access strategy, DR granularity is enlarged and initiative design capability is formed, which solves the problem of DRs matching with design tasks because of small resource granularity.","2020","2025-11-10 09:28:45","2025-11-10 09:28:45","","130797-130819","","","8","","IEEE Access","","","","","","","","","","","","","","","","","","","Cloud computing; Optimization; Ontologies; Software; Task analysis; Dynamic scheduling; Cloud manufacturing; Manufacturing; ontology modeling; multi-granularity design resource; resource aggregation; resource evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB79DCLF","journalArticle","2020","K. P. Joshi; L. Elluri; A. Nagar","An Integrated Knowledge Graph to Automate Cloud Data Compliance","IEEE Access","","2169-3536","10.1109/ACCESS.2020.3008964","","To address data protection concerns, authorities and standards bodies worldwide have released a plethora of regulations, guidelines, and software controls to be applied to Cloud data. As a result, service providers maintaining their end-user's private attributes have seen a surge in compliance requirements. Since most of these regulations are not available in a machine-processable format, it requires significant manual effort to adhere to them. Often many of the laws have overlapping rules, but as they are not referencing each other, providers must duplicate efforts to comply with each regulation. We have done a detailed study of all the data protection regulations that apply to Cloud data. We have developed an integrated, semantically rich knowledge graph that captures these various data compliance regulations. It includes the data threats and security controls that are needed to mitigate the risks. In this paper, we present this knowledge graph in detail, along with the system that we have developed to evaluate it. We have validated our knowledge graph against the privacy policies of various Cloud service providers like Amazon, Google, IBM, and Rackspace. This knowledge graph is available in the public domain and can be used by organizations to automate their compliance processes and set their enterprise Cloud security policies.","2020","2025-11-10 09:28:45","2025-11-10 09:36:28","","148541-148555","","","8","","IEEE Access","","","","","","","","","","","","","","","","<p>Export Date: 10 November 2025; Cited By: 31; Correspondence Address: K.P. Joshi; Department of Information Systems, University of Maryland Baltimore County, Baltimore, 21250-0002, United States; email: karuna.joshi@umbc.edu; L. Elluri; Department of Information Systems, University of Maryland Baltimore County, Baltimore, 21250-0002, United States; email: lelluri1@umbc.edu</p>","","","Cloud computing; Knowledge graphs; Cloud securities; cloud security; Cloud service providers; Knowledge representation; Data protection; Data privacy; Service provider; cloud security models; Compliance regulations; Laws and legislation; Privacy policies; security compliance models; Security controls; security domains; Software control; Turing machines; Standards; Regulation; Data models; Cloud computing security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZYD8W7I","conferencePaper","2020","O. Kovalenko; V. Vishnevsky; V. Kosolapov","Towards Creating the Network of Situatonal Governance Centers and Decision Making Technologies in Distributed Environments","2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)","","","10.1109/TCSET49122.2020.235491","","The paper proposes methodological approaches and concepts for building a network of distributed situational centers for state administration at different levels. The analysis of experience of application of situational centers in the activity of international organizations was conducted. The creation of a unified network of distributed situational centers is based on the methodological principles of coordinating the work of decisionmaking centers in the system of state administration as a joint distributed information system. A conceptual architecture of a joint network of distributed situation-al centers is proposed.","2020-02-25","2025-11-10 09:28:45","2025-11-10 09:28:45","","540-545","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)","","","","Decision making; Computer architecture; Buildings; Market research; Information technology; Organizations; agent-oriented environment; Convergence; convergence of information technologies; Distributed information systems; network of distributed situational centers; system of situational management; Telecommunications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)","","","","","","","","","","","","","","",""
"I34T9ILZ","journalArticle","2020","W. Jiang; J. Lin; H. Wang; S. Zou","Hybrid semantic service matchmaking method based on a random forest","Tsinghua Science and Technology","","1007-0214","10.26599/TST.2020.9010003","","Semantic Service Matchmaking (SSM) can be leveraged for mining the most suitable service to accommodate a diversity of user demands. However, existing research on SSM mostly involves logical or non-logical matching, leading to unavoidable false-positive and false-negative problems. Combining different types of SSM methods is an effective way to improve this situation, but the adaptive combination of different service matching methods is still a difficult issue. To conquer this difficulty, a hybrid SSM method, which is based on a random forest and combines the advantages of existing SSM methods, is proposed in this paper. The result of each SSM method is treated as a multi-dimensional feature vector input for the random forest, converting the service matching into a two classification problem. Therefore, our method avoids the flaws found in manual threshold setting. Experimental results show that the proposed method achieves an outstanding performance.","2020-12","2025-11-10 09:28:45","2025-11-10 09:28:45","","798-812","","6","25","","Tsinghua Science and Technology","","","","","","","","","","","","","","","","","","","Cloud computing; Semantics; Ontologies; Decision trees; Cognition; false-negative; false-positive; logic-based service matchmaking; random forest; Random forests; Semantic Service Matchmaking (SSM); Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JU89GL5K","conferencePaper","2020","V. V. Nigam; S. Paul; A. P. Agrawal; R. Bansal","A Review Paper On The Application Of Knowledge Graph On Various Service Providing Platforms","2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","","","10.1109/Confluence47617.2020.9058298","","During the past decade or so, knowledge graphs have stealthily made way into our daily lives, whether through voice assistants (the likes of Alexa, Google Assistant or Siri), spontaneous search results or customized personal shopping experiences through online stores recommenders. Today, we are surrounded and constantly interacting with knowledge graphs on a regular basis. The scope and impact of knowledge graphs and underlying graph databases are still a mystery to people. Considering its smooth entry into our lives, most of us are unaware of how dependent we actually are on the technology. In this paper, we have shown the working of the Google knowledge graph and how the knowledge graph works as the most effective recommendation system. We have discussed how it finds its way through daily life in various fields like Banking, Social media (Facebook, LinkedIn, Netflix), Food application (Uber Eats) and the Healthcare sector.","2020-01-29","2025-11-10 09:28:45","2025-11-10 09:36:39","","716-720","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","<p>Export Date: 10 November 2025; Cited By: 11; Conference name: 10th International Conference on Cloud Computing, Data Science and Engineering, Confluence 2020; Conference location: Noida; Amity University Uttar Pradesh, Noida Campus; Conference sponsors: IEEE</p>","","","Cloud computing; Knowledge graph; Knowledge graphs; Semantic search; knowledge graph; Graph Databases; Social networking (online); Data; Facebook; recommendation system; Knowledge engineering; Food applications; Google knowledge graph; Healthcare sectors; Knowledge graph-based recommendation system; Online store; Recommendation system; Review papers; Service-providing; Social media; Underlying graphs; Google; Filtering; data; Data science; google knowledge graph; knowledge graph-based recommendation system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","","","","","","","","","","","","","","",""
"GRF6FNZ6","journalArticle","2020","X. Xue; J. Lu","A Compact Brain Storm Algorithm for Matching Ontologies","IEEE Access","","2169-3536","10.1109/ACCESS.2020.2977763","","An ontology can formally present the domain knowledge by specifying the domain concepts and their relationships, which is a kernel technique for addressing the data heterogeneity issue in the semantic web. However, since existing ontologies are developed and maintained independently by different communities, a concept and its relationship with the others could be described in different ways, yielding the ontology heterogeneity problem. To solve this problem, in this work, we formally construct an optimal model for it, and propose a similarity measure for distinguishing identical ontology entities. Since determining the high-quality ontology alignment is a complex process, we propose to utilize a Brain Storm Optimization algorithm (BSO) to optimize the alignment. BSO is a recently developed Swarm Intelligence algorithm (SI), which can effectively solve the complex optimization problem by imitating the human's idea generating process. However, classic BSO needs to cluster various ideas in each generation and carry out the evolving operators on all ideas, which increases the computational complexity. To improve the efficiency of BSO-based ontology matcher, a Compact BSO (CBSO) is further proposed, which can reduce the memory consumption by utilizing the probabilistic representation on the idea cluster, and improve the algorithm's speed through the compact crossover operator and perturbation operator. The experiment uses the benchmark track provided by the Ontology Alignment Evaluation Initiative (OAEI) to test our approach's performance. The comparisons among the state-of-the-art ontology matchers and our proposal show that CBSO-based ontology matcher can efficiently determine high-quality ontology alignments.","2020","2025-11-10 09:28:45","2025-11-10 09:28:45","","43898-43907","","","8","","IEEE Access","","","","","","","","","","","","","","","","","","","Optimization; Ontologies; Clustering algorithms; Ontology matching; Storms; Measurement; compact brain storm optimization algorithm; Memory management; ontology alignment evaluation initiative; Particle swarm optimization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJH34KAL","journalArticle","2020","O. S. Alkadi; N. Moustafa; B. Turnbull; K. -K. R. Choo","An Ontological Graph Identification Method for Improving Localization of IP Prefix Hijacking in Network Systems","IEEE Transactions on Information Forensics and Security","","1556-6021","10.1109/TIFS.2019.2936975","","IP prefix hijacking continues to be a pervasive cyber security threat to the core internet routing infrastructure. The data security of multiple cloud-based services is also susceptible to these threats, due to the high dependency on traditional routing protocols. Although a number of hijacking detection techniques have been recently proposed, no existing system has effectively addressed the problem of detecting malicious transit Autonomous System (AS) services in any detected hijacking occurrences. The ability to locate and isolate malicious services is critical for conducting a necessary mitigation strategy at an early stage, to minimise the impact of the attack, to restore cloud services quickly. In this paper, we propose an effective real-time processing method, so-called Ontological Graph Identification (OGI), for detecting IP prefix hijacking of nodes and suspicious transit nodes caused by the hijacked nodes through ASs. The proposed method is evaluated using the two public datasets of RIPE RIS and RouteView. Experimental results revealed improved performance for the detection of malicious transit nodes compared with peer techniques. It is, therefore, shown that the proposed method has utility in automating the process of investigating nodes with suspicious activities in real network systems.","2020","2025-11-10 09:28:45","2025-11-10 09:36:28","","1164-1174","","","15","","IEEE Transactions on Information Forensics and Security","","","","","","","","","","","","","","","","<p>Export Date: 10 November 2025; Cited By: 15; Correspondence Address: K.-K.R. Choo; Department of Information Systems and Cyber Security, Department of Electrical and Computer Engineering, University of Texas at San Antonio, San Antonio, 78249-0631, United States; email: raymond.choo@fulbrightmail.org</p>","","","Cloud computing; Ontology; Distributed computer systems; Interactive computer systems; Anomaly detection; anomaly detection; Real time systems; Autonomous systems; BGP hijacking; Fault tolerant computer systems; Internet protocols; IP networks; IP prefix hijacking; Ip prefix hijackings; network systems; Network systems; Peer to peer networks; Peer-to-peer computing; Periodic structures; Routing; Real-time systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T35FT4FQ","journalArticle","2020","J. Chen; N. Wang; Y. Deng; H. Zhong; J. Han; Y. Li; Z. Wan; T. Kotake; D. Wang; N. Zhong","Wisdom as a Service for Mental Health Care","IEEE Transactions on Cloud Computing","","2168-7161","10.1109/TCC.2015.2464820","","Brain informatics adopts a systematic methodology to study clinical diagnosis and pathology of mental disorders from macro, meso and micro points of view. Systematic studies produce multi-level and multi-aspect health big data of mental disorders. Effectively integrating multi-level mental health big data and providing multi-level and content-oriented data services for different types of users by an open and extendable mode becomes new requirements on the acquisition and computing of mental health big data. The existing Data-Brain-based brain data center cannot meet these new requirements. This paper proposes a brain and health big data center and develops a content-oriented cloud service architecture, namely, wisdom as a service, for realizing the brain and health big data center. The illustrative example demonstrates significance and usefulness of the proposed approach.","2020-06-01","2025-11-10 09:28:45","2025-11-10 09:28:45","","539-552","","2","8","","IEEE Transactions on Cloud Computing","","","","","","","","","","","","","","","","","","","Cloud computing; Big data; Databases; Medical services; Medical diagnostic imaging; Systematics; Bismuth; brain informatics; Data-Brain; mental health care; provenances; Wisdom as a service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
