"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZB79DCLF","journalArticle","2020","K. P. Joshi; L. Elluri; A. Nagar","An Integrated Knowledge Graph to Automate Cloud Data Compliance","IEEE Access","","2169-3536","10.1109/ACCESS.2020.3008964","","To address data protection concerns, authorities and standards bodies worldwide have released a plethora of regulations, guidelines, and software controls to be applied to Cloud data. As a result, service providers maintaining their end-user's private attributes have seen a surge in compliance requirements. Since most of these regulations are not available in a machine-processable format, it requires significant manual effort to adhere to them. Often many of the laws have overlapping rules, but as they are not referencing each other, providers must duplicate efforts to comply with each regulation. We have done a detailed study of all the data protection regulations that apply to Cloud data. We have developed an integrated, semantically rich knowledge graph that captures these various data compliance regulations. It includes the data threats and security controls that are needed to mitigate the risks. In this paper, we present this knowledge graph in detail, along with the system that we have developed to evaluate it. We have validated our knowledge graph against the privacy policies of various Cloud service providers like Amazon, Google, IBM, and Rackspace. This knowledge graph is available in the public domain and can be used by organizations to automate their compliance processes and set their enterprise Cloud security policies.","2020","2025-11-10 09:28:45","2025-11-10 09:28:45","","148541-148555","","","8","","IEEE Access","","","","","","","","","","","","","","","","","","","Cloud computing; cloud security; Data protection; cloud security models; security compliance models; security domains; Standards; Regulation; Data models; Cloud computing security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JU89GL5K","conferencePaper","2020","V. V. Nigam; S. Paul; A. P. Agrawal; R. Bansal","A Review Paper On The Application Of Knowledge Graph On Various Service Providing Platforms","2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","","","10.1109/Confluence47617.2020.9058298","","During the past decade or so, knowledge graphs have stealthily made way into our daily lives, whether through voice assistants (the likes of Alexa, Google Assistant or Siri), spontaneous search results or customized personal shopping experiences through online stores recommenders. Today, we are surrounded and constantly interacting with knowledge graphs on a regular basis. The scope and impact of knowledge graphs and underlying graph databases are still a mystery to people. Considering its smooth entry into our lives, most of us are unaware of how dependent we actually are on the technology. In this paper, we have shown the working of the Google knowledge graph and how the knowledge graph works as the most effective recommendation system. We have discussed how it finds its way through daily life in various fields like Banking, Social media (Facebook, LinkedIn, Netflix), Food application (Uber Eats) and the Healthcare sector.","2020-01-29","2025-11-10 09:28:45","2025-11-10 09:28:45","","716-720","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","","","","Cloud computing; Semantic search; knowledge graph; Facebook; recommendation system; Knowledge engineering; Google; Filtering; data; Data science; google knowledge graph; knowledge graph-based recommendation system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","","","","","","","","","","","","","","",""
"VJH34KAL","journalArticle","2020","O. S. Alkadi; N. Moustafa; B. Turnbull; K. -K. R. Choo","An Ontological Graph Identification Method for Improving Localization of IP Prefix Hijacking in Network Systems","IEEE Transactions on Information Forensics and Security","","1556-6021","10.1109/TIFS.2019.2936975","","IP prefix hijacking continues to be a pervasive cyber security threat to the core internet routing infrastructure. The data security of multiple cloud-based services is also susceptible to these threats, due to the high dependency on traditional routing protocols. Although a number of hijacking detection techniques have been recently proposed, no existing system has effectively addressed the problem of detecting malicious transit Autonomous System (AS) services in any detected hijacking occurrences. The ability to locate and isolate malicious services is critical for conducting a necessary mitigation strategy at an early stage, to minimise the impact of the attack, to restore cloud services quickly. In this paper, we propose an effective real-time processing method, so-called Ontological Graph Identification (OGI), for detecting IP prefix hijacking of nodes and suspicious transit nodes caused by the hijacked nodes through ASs. The proposed method is evaluated using the two public datasets of RIPE RIS and RouteView. Experimental results revealed improved performance for the detection of malicious transit nodes compared with peer techniques. It is, therefore, shown that the proposed method has utility in automating the process of investigating nodes with suspicious activities in real network systems.","2020","2025-11-10 09:28:45","2025-11-10 09:28:45","","1164-1174","","","15","","IEEE Transactions on Information Forensics and Security","","","","","","","","","","","","","","","","","","","Cloud computing; anomaly detection; Autonomous systems; BGP hijacking; IP networks; IP prefix hijacking; network systems; Peer-to-peer computing; Periodic structures; Routing; Real-time systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZNI342WT","conferencePaper","2019","A. Opara; Y. Song; S. -J. Cho; L. Chung","Representing cloud security and privacy policies and detecting potential problems","2019 IEEE 5th International Conference on Big Data Intelligence and Computing (DATACOM)","","","10.1109/DataCom.2019.00040","","Cloud computing involves multiple stakeholders, each with its own security, privacy and trust requirements, where policy enforcement is shared between the various stakeholders, in contrast to on-premise computing, where an organizations policies are enforced using internal resources. To effectively manage and integrate security requirements in the cloud, the provider and customer needs to negotiate and agree upon the applied security policies. However, there is no standard way of expressing cloud security policies in a vendor-agnostic manner. Cloud security and privacy policies are often stated in an informal and ad-hoc manner, which leads to policy conflicts, incompleteness, ambiguity and inconsistencies. In this paper, we present CERBERUS, a framework for representing cloud security and privacy policies and detecting potential problems in the policies. CERBERUS adopts an object-oriented approach and consists of an ontology and notation, policies, guidelines and rules, and a tool for capturing and detecting policy errors. Using CERBERUS, policies can be analyzed for potential problems, including policy conflicts, inconsistencies, ambiguities, and incompleteness. An application of CERBERUS shows that it indeed helps to discover policy errors, which otherwise would go undetected or in many cases would be detected a posteriori at runtime.","2019-11-18","2025-11-10 09:28:45","2025-11-10 09:28:45","","214-221","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 IEEE 5th International Conference on Big Data Intelligence and Computing (DATACOM)","","","","Ontologies; Data privacy; Privacy; cloud security and privacy; security policy; Runtime; Organizations; Standards organizations; Cloud computing security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 IEEE 5th International Conference on Big Data Intelligence and Computing (DATACOM)","","","","","","","","","","","","","","",""
"F9PPZL8M","conferencePaper","2019","A. El Mhouti; M. Erradi; N. El Makhfi","A Multi-Agent System of Semantic Analysis and Filtering of Modeled Traces to Calculate Interaction Indicators Favoring Collaboration in LMS","2019 International Conference on Intelligent Systems and Advanced Computing Sciences (ISACS)","","","10.1109/ISACS48493.2019.9068907","","This research work presents a traces engineering method for 1/interactive traces visualization and 2/computation of indicators helping to enhance collaboration in Learning Management Systems (LMS). The aims is to extend the LMS features by incorporating the intelligence of the multi-agents approach, semantic Web technologies and cloud computing services in order to intelligently support collaborative learning. The proposed system is implemented as a LMS based on a cloud architecture and integrating a multi-agents based-system for traces collection and content analysis and filtering. Data collected are modeled, stored, transformed, analyzed and filtered in order to visualize traces and calculate interaction indicators helping tutors to make optimal decisions supporting collaboration. The proposed approach is implemented through a representative prototype. The paper presents the graphical interface of the tool with some examples of computation of indicators of a social nature.","2019-12-26","2025-11-10 09:28:45","2025-11-10 09:28:45","","1-7","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 International Conference on Intelligent Systems and Advanced Computing Sciences (ISACS)","","","","Cloud computing; Multi-agent systems; collaborative learning; e-learning; interaction indicator; LMS; modeled trace; Collaboration; Multi-agent system; Electronic learning; Computational modeling; Filtering; Collaborative work","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 International Conference on Intelligent Systems and Advanced Computing Sciences (ISACS)","","","","","","","","","","","","","","",""
"RLVQ98J5","conferencePaper","2019","H. Xie; W. Chai; S. Lin","Sequence Data Enhancement Method Based on Knowledge Graph","2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","","","10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00195","","To solve the problem of low recommendation accuracy caused by too little user behavior information in the current behavior recommendation system, an algorithm based on end-to-end data enhancement was proposed. In this paper, knowledge graph is constructed by learning and integrating structured knowledge network. Moreover, the characteristics of users with high preference similarity can be propagated through the inter-entity relations mapped by the knowledge map to reconstruct the preference vector of users. Through comparative experiments on open data sets, the AUC of RNN model, CNN model, RNN attention model and ATRank were improved by 3.28%, 2.35%, 2.89% and 1.30%, respectively.","2019-12-16","2025-11-10 09:28:45","2025-11-10 09:28:45","","1359-1364","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","","","","Cloud computing; Big Data; Distributed processing; 6G mobile communication; Channel hot electron injection; Recommender System, Knowledge Graph, Inter-entity, Enhancement; Social computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","","","","","","","","","","","","","","",""
"LQZ236HX","conferencePaper","2019","K. EL GUEMMAT; S. OUAHABI","Keeping interoperability between IMS-LD scenarios in Educational Cloud Computing based on Semantic Indexing","2019 1st International Conference on Smart Systems and Data Science (ICSSD)","","","10.1109/ICSSD47982.2019.9002705","","The purpose of this paper is to propose an effective system to automate the work between learning actors and manage interoperability between contents in the Educational Cloud (EC). Building e-learning systems in the cloud computing is a multidisciplinary endeavor that involves Learning Object (LO), Instructional Management Systems Learning Design (IMS-LD) specification, semi-automatic semantic indexing techniques according to ontologies, algorithms for the automatic processing of natural language (NLP) and system development framework. Our project implements a group of engaging, affectionate, and effective IMS-LD package equipped with abilities to facilitate and support reuse, sharing and identification of the LO between learning actors in the EC. We proposed a pedagogical system in EC that offer more benefits for the various actors to collaborate and to share LO flexibly.","2019-10-03","2025-11-10 09:28:45","2025-11-10 09:28:45","","1-6","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 1st International Conference on Smart Systems and Data Science (ICSSD)","","","","Cloud computing; Semantics; Interoperability; Ontologies; E-learning; Educational Cloud; Instructional Management Systems Learning Design; Learning Object; Collaboration; Electronic learning; Indexing; Semi-automatic semantic indexing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 1st International Conference on Smart Systems and Data Science (ICSSD)","","","","","","","","","","","","","","",""
"NAI3SPBC","conferencePaper","2019","S. Maroc; J. B. Zhang","Context-Aware Security Evaluation Ontology for Cloud Services","2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","2381-0947","","10.1109/IAEAC47372.2019.8997783","","Cloud computing is witnessing a fast development and widespread adoption from small to large organizations due to its cost-effective and resource-efficient services. Nevertheless, security risks remain major concerns. One of the main challenges is how to evaluate the security level of cloud services. Among the problems arising are the large variety of knowledge associated with the security domain and the heterogeneity of cloud services descriptions. An effective solution to such problems is ontologies. Ontologies provide a more structured and formal representation of a particular domain, which will help to reduce the conceptual ambiguity and enable automatic reasoning functionalities. In this paper, we propose an ontology for cloud services security evaluation based on industry standards and best practices. Some of the core concepts included in the ontology are the target, criteria, yardstick, data gathering techniques and data synthesis approaches. The concepts are grouped into five general categories, namely: context, assumptions, external factors, activities, and outcomes. The ontology is implemented using Protégé tool and validated through different uses case scenarios.","2019-12-20","2025-11-10 09:28:45","2025-11-10 09:28:45","","1012-1018","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","","","","Cloud computing; cloud computing; Security; Ontologies; NIST; ontologies; security evaluation; security ontologies; services evaluation; Measurement; Computational modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","","","","","","","","","","","","","","",""
"GUC77NPZ","conferencePaper","2019","B. Vinothini; N. Gnanambigai; P. Dinadayalan","Boosting Projection Neural Features for Semantic Similar Clustered Documents in Cloud","2019 International Conference on Smart Systems and Inventive Technology (ICSSIT)","","","10.1109/ICSSIT46314.2019.8987838","","Cloud computing has emerged as real world technology over the Internet. Due to the development of big data with high dimensionality, data storage possibility over cloud has created large scope in recent times. Document clustering is the fundamental topic that turned into an indispensable component in many areas like cloud computing. Document clustering partitions the document into significant classes or groups for retrieving the relevant document. Many researchers used the factorization methods and ontologies for internal and external knowledge based document clustering. However, existing methods failed to provide the semantic feature construction and leads to the information loss while covering all the ideas in documents. In order to address these problems, different document clustering techniques in cloud has been reviewed in this paper. In addition to that Document clustering by Entropy-based Boosting with Projection Neural Feature (EB-PNF) method is presented. The proposed method involves two stages. They are, similar document identification based on semantic similarity score, feature extraction which includes the extraction of both single and multi-label features based on the precision, recall and computational complexity to prove that EB-PNF method produces high-quality clusters comparable to the state-of-the-art methods.","2019-11-27","2025-11-10 09:28:45","2025-11-10 09:28:45","","1163-1169","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 International Conference on Smart Systems and Inventive Technology (ICSSIT)","","","","Cloud Computing; Cloud computing; Semantics; Ontologies; Clustering algorithms; Feature extraction; ontologies; Boosting; dimensionality; Document clustering; Entropy; factorization; Projection Neural Feature; semantic feature; Databases; Computational complexity; Clustering methods; Smart systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 International Conference on Smart Systems and Inventive Technology (ICSSIT)","","","","","","","","","","","","","","",""
"E27BQMTU","conferencePaper","2019","S. ZERTAL; Z. LABOUDI; S. BECHOUA","A Novel Ontology-based Approach for Describing Cloud Services","2019 International Conference on Theoretical and Applicative Aspects of Computer Science (ICTAACS)","","","10.1109/ICTAACS48474.2019.8988129","","The development of Cloud computing led to an increase in the number of services ready for use and therefore the number of consumers' requests. Cloud providers advertise the description of their offered services in different formats on the Internet. This makes the discovery and selection of services more difficult for users. Thus, a uniform description of Cloud services would be needed. The aim of this study is to provide a new ontology for uniform description of Cloud services coming from heterogeneous sources. The proposed model takes into account the different relationships and dependencies between services across Cloud's layers. These dependencies are represented by the different constraints of composition and deployment. To validate our proposal, qualitative and quantitative evaluations are conducted. The qualitative evaluation is carried out by making comparisons with both state-of-the-art works and the Bitnami platform according to some criteria. For the quantitative evaluation, comparisons are performed with the output results specified by users. Globally, the results are promising and encouraging.","2019-12-15","2025-11-10 09:28:45","2025-11-10 09:28:45","","1-8","","","1","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 International Conference on Theoretical and Applicative Aspects of Computer Science (ICTAACS)","","","","Cloud computing; Semantics; cloud computing; ontology; Ontologies; Web services; OWL; composition constraints; deployment constraints; discovery; services; Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 International Conference on Theoretical and Applicative Aspects of Computer Science (ICTAACS)","","","","","","","","","","","","","","",""
